first_name,company_name,email,city,state,website,source_url,score,quality_confidence,personalization_note,status,contact_name,contact_title,email_type,attorney_headcount,contact_form_url,phone,tier,opportunity_type,contact_rationale,email_status,email_superseded,email_obfuscated,contact_note
Bruce,Nagel Rice LLP,bnagel@nagelrice.com,Roseland,NJ,https://nagelrice.com/,https://www.consumeradvocates.org/events/ecourses/solar-fraud-101-ecourse/,60,medium,Lisa Considine served as Co-Chair of NCLC's 2024 Spring Training Solar Fraud Track and personally developed NACA's 'Solar Fraud 101' eCourse used to train other attorneys nationally on litigating solar fraud cases. Her own firm bio page does not itself list solar case results; the solar evidence is,needs_verification,Bruce H. Nagel,Partner,decision_maker_direct,15,https://nagelrice.com/contact/,973.618.0400,B,low_signal,"Mid-size firm (15 attorneys); Bruce Nagel is a name partner of the firm with a direct published email, and no dedicated marketing role was found",verified_on_site,,,"Lisa Considine (the attorney originally associated with this firm's solar-fraud content) is listed only as 'Counsel,' with no email published for her."
RJ,Connelly Law,rj@connellylaw.com,Pawtucket,RI,https://www.connellylaw.com/,https://www.connellylaw.com/post/shining-light-on-solar-panel-companies-protecting-elderly-homeowners,55,medium,"RJ Connelly III is a Certified Elder Law Attorney and Professional Fiduciary who published an article warning elderly homeowners specifically about solar sales tactics, citing enforcement patterns in LA, Miami, Houston, Albany, and Chicago. The piece is educational/advisory, built around a hypotheti",needs_verification,RJ Connelly III,Managing Attorney / Certified Elder Law Attorney,decision_maker_direct,1,https://www.connellylaw.com/connellylaw,401-724-9400,B,warm_buyer,"Solo-attorney firm — RJ Connelly III is the firm's only attorney and its published Managing Attorney, with a directly published email address.",verified_on_site,,,"Best contact in this batch: a direct published email for the firm's managing attorney/owner, confirmed verbatim (mailto:rj@connellylaw.com) via two independent fetches of the team page. Team page also lists an Office Manager (Jennifer Connelly) as an alternate admin/marketing-adjacent contact with her own published email."
D.,"Guidant Law, PLC",admin@guidant.law,Mesa,AZ,https://guidant.law/,https://guidant.law/commercial-and-civil-litigation/construction-law/registrar-of-contractors/,50,medium,"Firm states directly: 'Guidant Law represents contractors, homeowners, and other parties in ROC [Registrar of Contractors] matters throughout Arizona.' Arizona's ROC is a documented venue for solar-installer complaints, but the firm's ROC page does not name solar as a specific case type.",needs_verification,D. Lamar Hawkins,"Partner, Focused on Commercial and Personal Bankruptcy, Negotiations",general,"8 total: 5 Partners (D. Lamar Hawkins, Karen Bentley, Mark A. Hanson, Sam Saks, Scott T. Jensen), 1 Attorney (Cameron Cox), 2 Of Counsel (Gary Smith - retired, Shad M. Brown)",https://guidant.law/contact-us/,(480) 447-7107,B,low_signal,"mid-size firm (8 attorneys); no managing partner, firm administrator, operations manager, or marketing/BD role is published anywhere on the site - all 5 named partners (Hawkins, Bentley, Hanson, Saks, Jensen) share the identical unqualified 'Partner' title with no seniority distinction found, so this is one reasonable pick among equals, not a confirmed managing partner",verified_on_site,,yes - consider calling instead,"OBFUSCATION: the contact page's email is Cloudflare hex-encoded (data-cfemail=""9afbfef7f3f4dafdeff3fefbf4eeb4f6fbed"") rather than a plain mailto link; decoded it to admin@guidant.law, which matches the general inbox already on file - a human may want to call instead of email given the firm actively deters scraping. None of the 8 individual attorney bio pages publish any email (no mailto, no cfemail) - only the general contact page has one (obfuscated). Sam Saks is notable as President of the State Bar of Arizona (2025-) if a more senior-sounding contact is preferred, though still titled 'Partner' at this firm."
Brent,Brent S. Snyder Law,brent@brentsnyderlaw.com,Knoxville,TN,https://www.brentsnyderlaw.com,https://www.brentsnyderlaw.com/,45,low,"No solar content found. Solo Knoxville consumer-rights practitioner (over 20 years' experience) listing Bankruptcy, Consumer Law, Credit Reporting, Debt Collection, Mortgage/RESPA, and Telemarketing Abuse as practice areas - directly adjacent categories to solar loan and door-to-door sales disputes",needs_verification,,,,,,(865) 264-3328,C,warm_buyer,,,,,
Brian,Duffy & Young LLC,info@duffyandyoung.com,Charleston,SC,https://duffyandyoung.com,https://duffyandyoung.com/unfair-trade-practices,45,low,No solar content found. Established Charleston litigation firm with a dedicated South Carolina Unfair Trade Practices Act (SCUTPA) practice page - the statute under which SC solar sales-practice claims are typically brought - but no solar-specific case or page exists on the site.,needs_verification,,,,,,843-720-2044,C,warm_buyer,,,,,
William,Grove Ozment LLC,will@go-lawyers.com,Greenville,SC,https://go-lawyers.com,https://go-lawyers.com/defending-consumer-rights-under-scutpa/,45,low,"No solar content found. Greenville firm with a dedicated ""Defending Consumer Rights Under SCUTPA"" page covering the same unfair-trade-practices statute used in SC solar sales-practice claims, but no solar-specific case or page exists on the site.",needs_verification,William Grove,"Attorney at Law / Co-Founder (bio: he led the Greenville County Public Defender's office ""until opening Grove Ozment, LLC"")",decision_maker_direct,"2 (William Grove, Matthew Ozment)",https://go-lawyers.com/contact-us/,(864) 516-2222,C,warm_buyer,"Co-founder and name partner of a 2-attorney firm, listed first in the firm name",verified_on_site,info@go-lawyers.com,yes - consider calling instead,"Both name partners publish personal direct emails and direct-dial phone extensions on their own bio pages (will@ and matt@go-lawyers.com). Matthew Ozment's bio explicitly says ""co-founding Grove Ozment""; William Grove's bio says he ran the Public Defender's office ""until opening Grove Ozment, LLC."" No marketing/ops role found (2-attorney firm). No obfuscation."
Lindsey,"King Simmons, P.C.",lsimmons@kingsimmons.com,Birmingham,AL,https://kingsimmons.com,https://kingsimmons.com/,45,low,"No solar content found. Firm's own positioning: ""Fraud & Deceptive Business Practices Lawyer in Birmingham AL"" that has ""sued a vast number of large and small businesses and corporations for defrauding honest consumers"" - a directly applicable fraud-litigation practice, but no solar panel case or pa",needs_verification,Lindsey O. Simmons,Named Partner (Attorney),decision_maker_direct,"4 attorneys (Lawrence T. King, Lindsey O. Simmons, Karen Berhow, John M. Towle - Towle has no bio page/email found)",https://www.kingsimmons.com/contact,(205) 871-1310,C,warm_buyer,"small firm (4 attorneys) - Simmons is one of the two name partners (King Simmons, P.C.); her direct email is also the address the worklist already had on file as the firm's working contact, suggesting she is the active point of contact",verified_on_site,,,"No explicit 'managing partner' or 'founder' title found published for King or Simmons - both are simply named attorneys/name-partners; Simmons chosen on the strength that her personal email is the one already circulating as the firm's working contact. Kelsie Yeager (Bookkeeper & Office Manager, kyeager@kingsimmons.com) is a legitimate operations-role alternate if a non-attorney contact is preferred. John M. Towle (listed in the worklist) has no discoverable bio page or email on the current site. This is a Wix site with heavy client-side rendering; some content may not be fully captured by static HTML fetch."
Garrett,"McMillan & Black, PLLC",info@mcmillanblack.com,Richardson,TX,https://www.mcmillanblack.com,https://www.mcmillanblack.com,45,medium,"Firm's own site describes partner Garrett McMillan's experience as 'Consumer protection and defamation defense, with a substantial DTPA and Texas Citizens Participation Act practice in state and federal court.' No solar-specific case, page, or mention found anywhere on the site as of this research.",needs_verification,,,,,,(972) 591-7713,C,low_signal,,,,,
Jereme,"Baker Law Group, PLLC",info@jbakerlawgroup.com,Fort Collins,CO,https://jbakerlawgroup.com/,https://jbakerlawgroup.com/fort-collins-civil-litigation-attorney/,40,medium,"Fort Collins civil-litigation page lists 'cases involving unfair business practices, fraud, and deceptive advertising' as a practice focus; no solar-specific case or page found on the site.",duplicate_review,Jereme Baker,Founder & Managing Member,general,30,https://jbakerlawgroup.com/contact/,(303) 862-4564,C,low_signal,"Large multi-state firm (~30 attorneys); no marketing director/CMO/BD lead title was found, so the founder & managing member is the next best decision maker; the firm also has a Chief Operating Officer who may share marketing/ops decisions",verified_on_site,,,"Tyler Gurnee (named in the worklist) is 'Member & Practice Leader of Litigation,' not the top decision maker. Firm has a Chief Operating Officer, Heather Cooper, who is worth noting as a secondary contact for marketing/operations spend, but no email is published for either her or Jereme Baker. Only general inbox info@jbakerlawgroup.com is published."
Barry,"Clarkson & Associates, LLC",mheinz@clarksonlegal.com,St. George,UT,https://www.clarksonlegal.com/,https://www.clarksonlegal.com/our-firm,35,medium,"Dual-state firm with offices in St. George, UT and Mesquite, NV practicing Construction Law and 'Contracts and Transactions' — directly relevant practice categories for solar installation/contract disputes — but no solar-specific page or case was found on the firm's site.",duplicate_review,,,,,,(435) 634-1940,C,low_signal,,,,,
Mark,Freeman & Fuson Trial Lawyers,mark@freemanfuson.com,Nashville,TN,https://www.fusonlaw.com,https://www.fusonlaw.com/practice-areas/civil-litigation/tennessee-consumer-protection-act,35,low,"No solar content found. Firm has a dedicated Tennessee Consumer Protection Act practice page: Tennessee law provides ""powerful tools to protect consumers"" against ""unfair or deceptive acts or practices in trade and commerce"" - the exact statutory hook that would apply to deceptive solar sales, but n",needs_verification,"Mark T. Freeman, Esq.",Founding Partner,decision_maker_direct,6,https://www.fusonlaw.com/contact-us,(615) 298-7272,C,warm_buyer,co-founding partner at a mid-size firm (6 attorneys) with a directly published email address,verified_on_site,,,"Both founding partners have direct published emails on their individual attorney bio pages (main /contact-us page itself had no visible email). 6 attorneys hold 'Esq.' (Freeman, Fuson, Carolanne R. King, Marissa Knight, Nickolas I. Schulenberg, Katy Haggard); several other named staff are non-attorney support roles. Second office in Franklin, TN (by appointment)."
Patrick,"Keegan & Baker, LLP",pkeegan@keeganbaker.com,San Diego,CA,https://www.keeganbaker.com/,https://www.cptgroupcaseinfo.com/vivintsettlement/Class%20Notice.pdf,35,medium,"Named as Class Counsel (contact emails jbaker@keeganbaker.com and jweber@keeganbaker.com listed directly in the notice) in a Vivint Solar class action settlement notice (In re Vivint Solar). The firm's own website content read does not itself market a solar practice area, so this is confirmed via th",needs_verification,Patrick N. Keegan,Co-Founder and Managing Partner,decision_maker_direct,"3 (Patrick N. Keegan, Jason E. Baker, John J. Weber)",https://www.keeganbaker.com/contact-law-firm/,(858) 558-9400,C,low_signal,"His own bio page explicitly states he is ""the co-founder and managing partner of Keegan & Baker, LLP"" -- exact title match for a 3-attorney firm",verified_on_site,info@keeganbaker.com,yes - consider calling instead,"Clean, explicit match: Patrick N. Keegan's own bio page states he is 'the co-founder and managing partner of Keegan & Baker, LLP' with a direct-dial phone and personal email. All three named attorneys have personal firstinitial+last@keeganbaker.com addresses published via mailto: on their own bio pages. No obfuscation."
Allen,"Price Law Group (Resolve Law Group, APC)",info@resolvelawgroup.com,Scottsdale,AZ,https://pricelawgroup.com/,https://pricelawgroup.com/,35,medium,"Firm's litigation headquarters is in Scottsdale, AZ (corporate HQ in Encino, CA). Practices consumer financial protection, debt/bankruptcy resolution, and timeshare exit — the same 'exit service' model applied to solar by companies elsewhere — but no solar loan/lease page or case was found on the fi",needs_verification,Allen Jones III,Founder (per site's schema.org LegalService/Organization markup),attorney,28 (per the dedicated /about/our-attorneys/ listing page),https://resolvelawgroup.com/contact/,(866) 210-1722,C,low_signal,large firm (28 attorneys listed) with no marketing director/CMO/BD/client-services role found published anywhere on the site; fell back to the person the site's own structured data names as founder,verified_on_site,,,"IMPORTANT AMBIGUITY: pricelawgroup.com 301-redirects to resolvelawgroup.com, and on first fetch resolvelawgroup.com served a 5-second JS auto-refresh 'One moment, please...' interstitial (anti-bot) rather than real content - a second fetch (or one with a persisted cookie jar) got through to real HTML, so fetch_blocked is set true to flag that this firm's real site needs a retry/cookie-jar technique, not a one-shot curl. The site's application/ld+json (repeated identically across multiple attorney pages, including oddly referencing 'Blitz Law Group' in one description field, suggesting a reused/templated schema block) names 'Allen Jones III' as founder - however, the same schema's organization-level email is 'stuart@resolvelawgroup.com', which by name plausibly belongs to Stuart Price, the attorney whose name is literally in 'Price Law Group.' Given the schema is templated/possibly unreliable, a human should sanity-check whether Allen Jones III or Stuart Price is the right addressee before sending. Neither has a personal email confirmed beyond the ambiguous org-level stuart@ address, which was NOT attributed to Allen Jones III in emails_found since the name doesn't match him."
Aaron,Belzer Law,Aaron@BelzerLawFirm.com,Boulder,CO,https://belzerlawfirm.com/,https://belzerlawfirm.com/about/,30,low,"Firm litigates 'complex contract, property, and tort disputes' and HOA law from Boulder and Denver offices. A site search for 'solar' on the firm's own site returned zero results ('No posts found'), confirming no solar-specific work is currently marketed.",duplicate_review,,,,,,(720) 817-3799,C,low_signal,,,,,
Ari,"Marcus & Zelman, LLC",info@marcuszelman.com,Asbury Park,NJ,https://www.marcuszelman.com,https://www.marcuszelman.com/,30,low,"Self-described 'consumer rights law firm' handling individual and class-action consumer litigation (unlawful repossession, robocalls/texts, credit reporting errors); no solar-specific content found on the homepage reviewed.",needs_verification,,,,,,732-695-3282,C,low_signal,,,,,
Joseph,Murray Murphy Moul + Basil LLP,murray@mmmb.com,Columbus,OH,https://www.mmmb.com,https://www.mmmb.com/,30,low,"Columbus firm explicitly describes its practice as 'securities, consumer and insurance class actions, as well as complex business and real estate disputes'; no solar-specific content found on the homepage reviewed.",needs_verification,Joseph F. Murray,"Co-Founder (per his own bio: ""Before co-founding our firm...""); no formal title labels are published on the team page for any attorney",decision_maker_direct,"7 (Joseph F. Murray, Brian K. Murphy, Geoffrey J. Moul, Brian A. Basil, Jennifer L. Fate, JB Hadden, Jonathan P. Misny)",https://www.mmmb.com (embedded contact form),614-488-0400,C,low_signal,"Listed first in the firm's own name and confirmed as a co-founder in his bio; no attorney is distinctly labeled managing partner, so the first-named founder is the best-supported proxy",verified_on_site,info@mmmb.com,yes - consider calling instead,"All 7 attorneys' personal emails and direct-dial + mobile phone numbers are published together on the /our-team page (Wix-hosted). No one carries a distinct 'managing partner' label -- all four name partners (Murray, Murphy, Moul, Basil) describe themselves identically as co-founders. No obfuscation. Unrelated sentry.wixpress.com addresses in the raw HTML are error-tracking artifacts and were excluded."
Joe,Zonies Law LLC,jzonies@zonieslaw.com,Denver,CO,https://www.zonieslaw.com/,https://www.zonieslaw.com/,30,low,"Denver mass-tort, class-action, and commercial-litigation firm (product liability, medical devices, drug injuries). No solar-specific case, page, or mention was found on the firm's site — fit here is speculative, based on class-action/commercial-litigation capability rather than any solar evidence.",needs_verification,Joe Zonies,Founder,decision_maker_direct,"1 attorney (Joe Zonies, Founder). The worklist listed Shea Shaver, Lisa Randolph, and Jenelle Cox as 'attorneys' but their published titles on the site are Mass Tort Manager, Nurse Paralegal, and Legal Assistant respectively - none are attorneys",https://www.zonieslaw.com/contact,720-464-5300,C,low_signal,"solo/small firm - Joe Zonies is the only attorney on the team page and is explicitly titled 'Founder,' with the bio text stating 'Joseph Zonies is the founding member of Zonies Law LLC'",verified_on_site,info@zonieslaw.com,yes - consider calling instead,"OBFUSCATION: every individual staff email on this site (including the founder's) is hidden behind a Joomla anti-spambot JavaScript 'cloak' that HTML-entity-encodes the address and writes it into the page only via document.getElementById(...).innerHTML at runtime - a static/summarizer view would show only 'This email address is being protected from spambots.' All four addresses above were decoded from that entity-encoded JS (e.g. 'jz&#111;n&#105;&#101;s' + '&#64;' + 'z&#111;n&#105;&#101;sl&#97;w' + '&#46;' + 'c&#111;m' -> jzonies@zonieslaw.com); the characters were genuinely published, but this is a deliberate anti-scraping measure, so a human should decide whether to email or call the direct line instead (866-730-6438). Joe Zonies' direct phone is also listed on his bio page."
Abbas,"Kazerouni Law Group, APC",ak@kazlg.com,Phoenix,AZ,https://www.kazlg.com/,https://www.kazlg.com/,25,medium,"Firm operates dedicated Phoenix, AZ and Las Vegas, NV offices with a large TCPA/robocall and consumer-fraud class-action practice — the identical legal theory the Arizona AG used against solar telemarketers (Vision Solar, Go Green Today, Going Green Solar). No solar-specific page, blog post, or case",needs_verification,"Abbas Kazerounian, Esq.",Partner,decision_maker_direct,"23 (per firm's own About/Attorneys roster — larger than the 6 in the worklist; offices in Costa Mesa, San Diego, Phoenix, St. George, Las Vegas, Minneapolis, Chicago, Dallas, Seattle, NYC, and Marlton NJ)",https://www.kazlg.com/contact/,602-265-3332,C,low_signal,Large multi-office firm (23 attorneys across 11 offices) with no marketing/CMO/business-development role found on site; Abbas Kazerounian is the firm's founding/lead-named partner with a verified direct email.,verified_on_site,,,"Best find in this batch: verified direct partner email (mailto:ak@kazlg.com) and direct phone confirmed in raw HTML, not just a tool summary. This attorney's address follows a firstinitial+lastname@kazlg.com pattern, but per instructions no other attorney's email was guessed from that pattern — only ak@kazlg.com was actually read on a fetched page."
,Wolf Haldenstein Adler Freeman & Herz LLP,info@whafh.com,New York,NY,https://www.whafh.com,https://www.whafh.com/,25,low,"National firm with 'consumer protection' and 'consumer litigation' as named practice areas (alongside securities, antitrust, and shareholder derivative litigation) and offices in both New York and Chicago, giving it relevance to two priority states in this lane; no solar-specific content found on th",needs_verification,,,,,,,C,low_signal,,,,,
Scott,"Bursor & Fisher, P.A.",scott@bursor.com,New York,NY,https://www.bursor.com,https://www.bursor.com/,20,low,"Major national consumer class-action firm with two New York offices (NYC and White Plains); named practice areas include consumer protection, data privacy, and lemon law, but no solar-specific content found on the pages reviewed.",needs_verification,Scott A. Bursor,President,decision_maker_direct,"~41 (5 Partners, 4 Managing Partners, 1 President, 3 Counsel, 28 Associates per team page; plus ~15 non-attorney legal staff)",https://www.bursor.com/contact/,646-837-7150,C,low_signal,No dedicated marketing/BD/client-services role found despite ~41 attorneys; the firm's President is the senior-most named leader and has a verified direct email.,verified_on_site,,,Direct email for the firm's President found and verified on his own bio page.
Nicholas,Chimicles Schwartz Kriner & Donaldson-Smith LLP,nick@chimicles.com,Haverford,PA,https://www.chimicles.com,https://www.chimicles.com/,20,low,"30+ year-old consumer class-action firm listing 'consumer fraud' as an explicit named practice area, with a Wilmington, DE office that gives this list its only Delaware touchpoint; no solar-specific content found.",needs_verification,Nicholas E. Chimicles,Partner,decision_maker_direct,17,https://chimicles.com/contact-us/,866-399-2487,C,low_signal,17-attorney mid/upper-size firm; no dedicated marketing/BD role found published on site; Chimicles is the firm's senior name partner (first name in the firm's own name) with a published direct email,verified_on_site,,,"8 partners (Nicholas E. Chimicles, Robert J. Kriner Jr., Steven A. Schwartz, Kimberly Donaldson Smith, Timothy N. Mathews, Scott M. Tucker, Beena M. McDonald, Zachary P. Beatty), 3 of counsel/senior counsel, 6 associates = 17 attorneys. www.chimicles.com redirects/canonicalizes to chimicles.com (no www) for content pages. Site's own /attorneys URL 404s; real path is /our-people/. Only Nicholas Chimicles's direct email was confirmed via mailto: link on his own bio page; no marketing/BD-specific role found among staff."
James,"Francis Mailman Soumilas, P.C.",jfrancis@consumerlawfirm.com,Philadelphia,PA,https://www.consumerlawfirm.com,https://www.consumerlawfirm.com/,20,low,Philadelphia consumer-rights firm naming 'deceptive practices' among its practice areas alongside credit reporting errors and identity theft; no solar-specific content found on the homepage reviewed.,needs_verification,James A. Francis,Co-Founder,decision_maker_direct,14,https://www.consumerlawfirm.com/casereview.php,877-735-8600,C,low_signal,"Mid-size firm (14 attorneys); a co-founder with a verified direct email — no separate marketing/BD role was found, so a founding partner is the right contact.",verified_on_site,,,"Strong result: three named co-founders' direct work emails are published on the firm's own site (each was literally read on a fetched page — jfrancis's was independently confirmed twice, on both the attorneys listing and his own bio page)."
Daniel,Gustafson Gluek PLLC,dgustafson@gustafsongluek.com,Minneapolis,MN,https://www.gustafsongluek.com,https://www.gustafsongluek.com/,20,low,"'Consumer Protection' is an explicitly named practice area (alongside antitrust, data breach, and product liability) for this 24-attorney Minneapolis firm, which advertises 'advocating for your rights as a consumer since 2003'; no solar-specific content found.",needs_verification,Daniel Gustafson,Founding Member,decision_maker_direct,23,https://www.gustafsongluek.com/contact,612-333-8844,C,low_signal,"23-attorney larger firm; no marketing director/CMO/BD/client-services title found published on site, so falls back to the founding partner per sizing rules; Tracey Grill (Office Manager, tgrill@gustafsongluek.com) is a strong alternate operations contact who 'oversees the Firm's overall operations' per her own bio",verified_on_site,,,"Team page lists 23 attorneys and 12 non-attorney ""Our Professionals"" staff. The contact page explicitly names Cathy Smith and Tracey Grill as the people to email for urgent matters, which is an unusually direct, named contact route. Tracey Grill's bio explicitly states she is 'Office Manager... overseeing the Firm's overall operations, including finance, human resources, facilities management, and the supervision of office staff' - functionally the closest thing this firm has to an operations/administrator contact, and worth trying alongside the founder."
John,"Morrison, Sherwood, Wilson & Deola, PLLP",john@mswdlaw.com,Helena,MT,https://www.mswdlaw.com/,https://www.mswdlaw.com/,20,low,"Montana consumer-protection firm handling 'abusive banking practices,' debt-collection defense, and foreclosure defense — legal theories directly applicable to predatory solar loan or lien disputes — but no solar-specific content was found on the firm's site.",needs_verification,John Morrison,Partner,decision_maker_direct,8,https://www.mswdlaw.com/contact-us,(406) 442-3261,C,low_signal,listed first among the firm's partners and the firm's namesake at this mid-size firm (8 attorneys); direct email published,verified_on_site,,,"info@mswdlaw.com is explicitly designated on-site for job/resume inquiries, not general contact - useful as a fallback route only. John Morrison's direct email (john@mswdlaw.com) is the better outreach target. 8 attorneys = 7 partners (John Morrison, David K. W. Wilson Jr., Lin Deola, Brian J. Miller, Rob Farris-Olsen, Scott Peterson, Anne Sherwood) + 1 Of Counsel (Frederick F. Sherwood)."
,Motley Rice LLC,communications@motleyrice.com,Providence,RI,https://www.motleyrice.com,https://www.motleyrice.com/,20,low,"Major national plaintiffs' firm (100+ attorneys, founded 1979) lists a Rhode Island office among its locations and 'consumer fraud' among 19 named practice areas; no solar-specific content found. Included primarily to establish a credible Rhode Island touchpoint given how little RI-specific private",needs_verification,,,marketing,100+ (site states 'more than 100 attorneys'),https://www.motleyrice.com/connect,800-768-4026,C,low_signal,Large firm ('more than 100 attorneys') — no named Marketing Director/CMO/Business Development lead was published on any page checked; the communications inbox is the best available published marketing-adjacent contact.,verified_on_site,,,communications@motleyrice.com is explicitly presented on-site as the media/communications contact — the closest published marketing-relevant channel — but no individual name is attached to it. Attempts to find a leadership/marketing-team page returned 404s.
Edward,Shapiro Haber & Urmy LLP,ehaber@shulaw.com,Boston,MA,https://www.shulaw.com,https://www.shulaw.com/,20,low,"'Consumer fraud' is an explicit named practice area alongside antitrust, securities fraud, and ERISA litigation at this established Boston class-action firm; no solar-specific content found on the pages reviewed.",needs_verification,Edward F. Haber,Partner,decision_maker_direct,6,https://www.shulaw.com/submit.php,617-439-3939,C,low_signal,"Mid-size firm (6 attorneys); no managing partner is explicitly named, and founding partner Thomas Shapiro is listed as 'Emeritus' (semi-retired), so active partner Edward Haber -- who has a direct published email -- is the more likely live decision maker",verified_on_site,,,"Two direct partner emails found. Thomas G. Shapiro (name partner) is titled 'Founding Partner Emeritus,' suggesting reduced day-to-day role, hence flagging Edward Haber instead. Both emails are provided in emails_found for completeness."
Joseph,"Sommers Schwartz, P.C.",jbourgon@sommerspc.com,Southfield,MI,https://www.sommerspc.com,https://www.sommerspc.com/,20,low,"One of Michigan's largest plaintiff-side firms with 'class action litigation' as a named practice area and offices across Southfield, Detroit, and Kalamazoo; no solar-specific content found on the homepage reviewed.",needs_verification,Joseph H. Bourgon,Senior Shareholder/CEO,decision_maker_direct,"~21-30 (attorney/shareholder directory paginated 'page 1 of 3' at ~10 per page; offices in Southfield MI, Detroit MI, Kalamazoo MI, Los Angeles CA, and Decatur GA)",https://www.sommerspc.com/contact-us/,248-355-0300,C,low_signal,"Large multi-office firm (~21-30 attorneys/shareholders); no dedicated marketing/CMO title was found, but the firm's own CEO is identified by name with a verified direct email and direct phone — a stronger contact than a generic managing partner.",verified_on_site,,yes - consider calling instead,"Best find in this batch: the firm's CEO by name, with a verified direct email and direct phone line, confirmed in raw HTML (an HTML-entity-obfuscated mailto link, decoded character-for-character — not a guess). Every attorney on the people page uses a consistent firstinitial+lastname@sommerspc.com pattern, but per instructions none of the other attorneys' addresses were recorded since only Bourgon's was actually fetched and decoded."
Derek,Zimmerman Reed LLP,lindsey.carr@zimmreed.com,Minneapolis,MN,https://www.zimmreed.com,https://www.zimmreed.com/,20,low,"40-year-old, nationally recognized Minneapolis-based 'complex and class action litigation' firm (4.8/5 client rating across 225 reviews per own site); no solar-specific content found on the homepage reviewed.",needs_verification,Derek Dixon,Marketing Manager,general,25,https://www.zimmreed.com/contact-us/,877-500-8780,C,low_signal,Dedicated Marketing Manager found on staff — preferred per instructions over the firm's three Managing Partners for this 25-attorney firm.,verified_on_site,,,"Named Marketing Manager (Derek Dixon) confirmed via his own bio page (title and phone shown), but no email is published for him specifically. The only verified email on the domain is an HR/recruiting contact (Lindsey Carr) on the careers page — included for completeness but she is not the marketing decision-maker. Three Managing Partners are also named on the people page: June Pineda Hoidal, Caleb L. H. Marker, and J. Gordon Rudd, Jr."
Natalie,Long Reimer Winegar LLP,nwinegar@lrw-law.com,Cheyenne,WY,http://lrw-law.com/,http://lrw-law.com/,15,low,"Six-office Rocky Mountain regional firm (Cheyenne, Jackson, Evanston, Casper WY; Park City, Denver CO) with a Civil Litigation practice, describing itself as offering 'the expertise and sophistication of a national firm with the service and responsiveness of a local boutique firm.' No solar-specific",needs_verification,Natalie K. Winegar,Managing Partner,decision_maker_direct,22,https://lrw-law.com/contact/,,C,low_signal,"Large firm (22 attorneys); explicitly published as Managing Partner of the firm, with a direct email -- preferred over the merely-named partner Christopher Reimer",verified_on_site,,,"No firm-wide phone number was published on the pages checked (homepage/contact/about); the firm instead lists six separate office locations (Cheyenne, Jackson, Evanston, Park City, Denver, Casper), each presumably with its own number, which were not individually fetched. Strong contact: named Managing Partner with a direct email."
Scott,Modrall Sperling,contact@modrall.com,Albuquerque,NM,https://www.modrall.com/,https://www.modrall.com/,15,low,"Firm lists 'Renewable Energy' as a named practice within its Energy, Environment and Natural Resources department and describes itself as having 'Nationally-Renowned Energy, Resources, and Indian Law Experts.' This reads as developer/utility-side energy law, not residential solar-contract cancellati",needs_verification,Scott D. Cocker,Executive Director,general,70+,https://www.modrall.com/contact/contact-form/,505.848.1800,C,low_signal,"Large firm (70+ attorneys); no marketing-director/CMO/BD/client-services title was found after a targeted search, so the firm's published Executive Director — the operations-leadership role most likely to own a marketing vendor decision — is the closest match.",verified_on_site,,,"General inbox (contact@modrall.com) and several individual attorney emails follow a firstname.lastname@modrall.com pattern that is directly published via mailto links on the attorney directory — confirmed by literal read, not inferred. Scott D. Cocker's Executive Director title is confirmed only via a November 2020 firm press release still live on the site; could not verify from the site whether he still holds the role today (no more-recent leadership page found, and LinkedIn is off-limits per instructions) — treat as dated. No individual email was found for Cocker himself, and one was deliberately not constructed from the firm's visible pattern per the no-guessing rule."
,"Sutin, Thayer & Browne",emb@sutinfirm.com,Albuquerque,NM,https://www.sutinfirm.com/,https://www.sutinfirm.com/,15,low,"Established 1946 New Mexico firm listing 'construction law' among a broad roster of practice areas (corporate, real estate, creditor rights, regulatory/compliance, etc.); no solar-specific content found on the firm's site.",needs_verification,,,general,20 (per /lawyers and /professionals pages),https://www.sutinfirm.com/contact-us,(505) 883-2500,C,low_signal,"20-attorney firm at the edge of mid/large size, but no leadership titles (managing partner, president, shareholder) or marketing/BD role are published anywhere on the site — the roster pages list all 20 lawyers by name only, with no designations, so no individual decision-maker could be confidently identified.",verified_on_site,,,"Squarespace site. General firm email emb@sutinfirm.com found in the page's embedded schema.org/Organization JSON-LD (literal characters read from page source, not a guess), likely a firm administrator's mailbox since the initials don't match any of the 20 listed attorneys' names. No individual attorney titles or emails are published on the roster pages, and an individual bio-page URL pattern could not be determined (a guessed slug 404'd, so it was not pursued further). Site has an 'In Memoriam' nav item, suggesting the firm's namesake founders (Sutin, Thayer, Browne) are no longer among the active attorneys listed."
